Ranking,Country,Continent,Population (2021),Yearly Change %,Net Change,Density (Population/km2),Land Area (km2),Migrants (net),Fertility Rate,Median Age,Urban Population %
1,China,Asia,1439323776,0.39,5540090,153,9388211,-348399,1.7,38,61
2,India,Asia,1380004385,0.99,13586631,464,2973190,-532687,2.2,28,35
3,United States,North America,331002651,0.59,1937734,36,9147420,954806,1.8,38,83
4,Indonesia,Asia,273523615,1.07,2898047,151,1811570,-98955,2.3,30,56
5,Pakistan,Asia,220892340,2.00,4327022,287,770880,-233379,3.6,23,35
6,Brazil,South America,212559417,0.72,1509890,25,8358140,21200,1.7,33,88
7,Nigeria,Africa,206139589,2.58,5175990,226,910770,-60000,5.4,18,52
8,Bangladesh,Asia,164689383,1.01,1643222,1265,130170,-369501,2.1,28,39
9,Russia,Asia/Europe,145934462,0.04,62206,9,16376870,182456,1.8,40,74
10,Mexico,North America,128932753,1.06,1357224,66,1943950,-60000,2.1,29,84
11,Japan,Asia,126476461,-0.30,-383840,347,364555,71560,1.4,48,92
12,Ethiopia,Africa,114963588,2.57,2884858,115,1000000,30000,4.3,19,21
13,Philippines,Asia,109581078,1.35,1464463,368,298170,-67152,2.6,26,47
14,Egypt,Africa,102334404,1.94,1946331,103,995450,-38033,3.3,25,43
15,Vietnam,Asia,97338579,0.91,876473,314,310070,-80000,2.1,32,38
16,Democratic Republic of the Congo,Africa,89561403,3.19,2770836,40,2267050,23861,6.0,17,46
17,Turkey,Asia/Europe,84339067,1.09,909452,110,769630,283922,2.1,32,76
18,Iran,Asia,83992949,1.30,1079043,52,1628550,-55000,2.2,32,76
19,Germany,Europe,83783942,0.32,266897,240,348560,543822,1.6,46,76
20,Thailand,Asia,69799978,0.25,174396,137,510890,19444,1.5,40,51
21,United Kingdom,Europe,67886011,0.53,355839,281,241930,260550,1.8,40,83
22,France,Europe,65273511,0.22,143783,119,547557,36527,1.9,42,82
23,Italy,Europe,60461826,-0.15,-88249,206,294140,148943,1.3,47,69
24,Tanzania,Africa,59734218,2.98,1728755,67,885800,-40076,4.9,18,37
25,South Africa,Africa,59308690,1.28,750420,49,1213090,145405,2.4,28,67
26,Myanmar,Asia,54409800,0.67,364380,83,653290,-163313,2.2,29,31
27,Kenya,Africa,53771296,2.28,1197323,94,569140,-10000,3.5,20,28
28,South Korea,Asia,51269185,0.09,43877,527,97230,11731,1.1,44,82
29,Colombia,South America,50882891,1.08,543448,46,1109500,204796,1.8,31,80
30,Spain,Europe,46754778,0.04,18002,94,498800,40000,1.3,45,80
31,Uganda,Africa,45741007,3.32,1471413,229,199810,168694,5.0,17,26
32,Argentina,South America,45195774,0.93,415097,17,2736690,4800,2.3,32,93
33,Algeria,Africa,43851044,1.85,797990,18,2381740,-10000,3.1,29,73
34,Sudan,Africa,43849260,2.42,1036022,25,1765048,-50000,4.4,20,35
35,Ukraine,Europe,43733762,-0.59,-259876,75,579320,10000,1.4,41,69
36,Iraq,Asia,40222493,2.32,912710,93,434320,7834,3.7,21,73
37,Afghanistan,Asia,38928346,2.33,886592,60,652860,-62920,4.6,18,25
38,Poland,Europe,37846611,-0.11,-41157,124,306230,-29395,1.4,42,60
39,Canada,North America,37742154,0.89,331107,4,9093510,242032,1.5,41,81
40,Morocco,Africa,36910560,1.20,438791,83,446300,-51419,2.4,30,64
